"filename", "language", "HTML", "PostCSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_search.svg", "XML", 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_settings.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\navigation\nav_studying.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\bandcamp.svg", "XML", 0, 0, 0, 6, 0, 1, 1, 8
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\square-github.svg", "XML", 0, 0, 0, 18, 0, 1, 1, 20
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\square-instagram.svg", "XML", 0, 0, 0, 18, 0, 1, 1, 20
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\square-youtube.svg", "XML", 0, 0, 0, 9, 0, 1, 1, 11
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\square_vk.svg", "XML", 0, 0, 0, 9, 0, 1, 1, 11
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\icons\social\telegram.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content1.svg", "XML", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content2.svg", "XML", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content3.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\PROJECT NEK\Desktop\ПМ05 Производственная практика\jsiseasy\media\images\content4.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 1
