"filename", "language", "HTML", "PostCSS", "JavaScript", "PHP", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\star_alternative.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star_alternative.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star_alternative_empty.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\success.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\watches.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_active.svg", "XML", 0, 0, 0, 0, 0, 57, 1, 1, 59
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_default.svg", "XML", 0, 0, 0, 0, 0, 6, 1, 1, 8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_pointer.svg", "XML", 0, 0, 0, 0, 0, 15, 1, 1, 17
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_back.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_hide.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_home.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_notifications.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_quit.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_search.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_settings.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_show.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_studying.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\bandcamp.svg", "XML", 0, 0, 0, 0, 0, 6, 1, 1, 8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-github.svg", "XML", 0, 0, 0, 0, 0, 18, 1, 1, 20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-instagram.svg", "XML", 0, 0, 0, 0, 0, 18, 1, 1, 20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square-youtube.svg", "XML", 0, 0, 0, 0, 0, 9, 1, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\square_vk.svg", "XML", 0, 0, 0, 0, 0, 9, 1, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\social\telegram.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content1.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content2.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content3.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content4.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content5.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content6.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\news.html", "HTML", 163, 0, 0, 0, 0, 0, 0, 14, 177
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\addOrder.php", "PHP", 0, 0, 0, 27, 0, 0, 1, 13, 41
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\allClientOrders.php", "PHP", 0, 0, 0, 19, 0, 0, 8, 19, 46
