"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "JSON", "XML", "comment", "blank", "total"
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\4.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\5.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\6.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\7.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\8.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\9.svg", "XML", 0, 0, 0, 0, 0, 11, 1, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid1.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medal-solid2.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 1, 15
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level1.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level2.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\medals_level3.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\medals\star_alternative.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star_alternative.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\star_alternative_empty.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\success.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\content\watches.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_active.svg", "XML", 0, 0, 0, 0, 0, 57, 1, 1, 59
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_default.svg", "XML", 0, 0, 0, 0, 0, 6, 1, 1, 8
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\cursors\cursor_diamond_pointer.svg", "XML", 0, 0, 0, 0, 0, 15, 1, 1, 17
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_back.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_hide.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_home.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_notifications.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_quit.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_search.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_settings.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_show.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\icons\navigation\nav_studying.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content1.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 1, 13
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content2.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content3.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content4.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content5.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\media\images\content6.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\news.html", "HTML", 163, 0, 0, 0, 0, 0, 0, 14, 177
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\addOrder.php", "PHP", 0, 28, 0, 0, 0, 0, 1, 12, 41
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\allClientOrders.php", "PHP", 0, 20, 0, 0, 0, 0, 8, 20, 48
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\authorization-check.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 7, 27
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\authorization.php", "PHP", 0, 28, 0, 0, 0, 0, 9, 20, 57
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\changeAccountInfo.php", "PHP", 0, 40, 0, 0, 0, 0, 7, 12, 59
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\php\registration.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 11, 35
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\registration.html", "HTML", 64, 0, 0, 0, 0, 0, 3, 7, 74
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\structure\footer.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 0, 45
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\structure\head.html", "HTML", 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\structure\header.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 20
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\testificates\formvalidationtestificate.html", "HTML", 288, 0, 0, 0, 0, 0, 0, 49, 337
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\testificates\modalwindowalternativetestificate.html", "HTML", 92, 0, 0, 0, 0, 0, 0, 21, 113
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\testificates\modalwindowtestificate.html", "HTML", 96, 0, 0, 0, 0, 0, 0, 11, 107
"c:\OSPanel\OSPanel\domains\localhost\jsiseasy\testificates\passwordinputtestificate.html", "HTML", 82, 0, 0, 0, 0, 0, 0, 11, 93
"Total", "-", 2134, 160, 803, 4456, 152, 691, 400, 1397, 10193
